slug,post_id,edited_at_jst,pool_class,edit_type,source,chars_delta,links_before,links_after,added_link_targets,removed_link_targets,title_changed,title_before,title_after,links_before_all,links_after_all,note
agentforce-guide,6698,2026-09-11T14:36:23+09:00,ピラー,見出し反映,一括スクリプト,16,55,55,,,0,【2026年8月時点】Agentforceとは？仕組み・料金・導入判断までをまとめて解説します,【2026年8月時点】Agentforceとは？仕組み・料金・導入判断までをまとめて解説します,60,60,H2・H3 の文言が変わった（4本）
agentic-crm-pipeline-stagnation-detection,6406,2026-09-11T14:36:28+09:00,統計46,見出し反映,一括スクリプト,-94,4,4,,,0,【2026年最新】Agentic CRMでパイプラインの停滞商談を自律検知する設計と手順,【2026年最新】Agentic CRMでパイプラインの停滞商談を自律検知する設計と手順,4,4,H2・H3 の文言が変わった（4本）
agentforce-data-library,7127,2026-09-11T14:36:41+09:00,統計46,見出し反映,一括スクリプト,31,15,15,,,0,Agentforceのデータライブラリとは？入れる文書の選び方と更新の設計,Agentforceのデータライブラリとは？入れる文書の選び方と更新の設計,21,21,H2・H3 の文言が変わった（5本）
agentforce-certification,6571,2026-09-11T14:36:47+09:00,統計46,見出し反映,一括スクリプト,-23,9,9,,,0,【2026年最新】Agentforceスペシャリスト資格とは？試験の概要と勉強法をまとめて解説,【2026年最新】Agentforceスペシャリスト資格とは？試験の概要と勉強法をまとめて解説,16,16,H2・H3 の文言が変わった（3本）
agentic-crm,6797,2026-09-11T14:36:52+09:00,ピラー,見出し反映,一括スクリプト,29,8,8,,,0,Agentic CRMとは？AIが動かすCRMの全体像と設計の考え方を解説,Agentic CRMとは？AIが動かすCRMの全体像と設計の考え方を解説,11,11,H2・H3 の文言が変わった（3本）
agentforce-coworker,7003,2026-09-11T14:37:03+09:00,その他,見出し反映,一括スクリプト,45,14,14,,,0,【2026年8月時点】Agentforce Coworkerとは？営業の照会場面と任せ方の設計,【2026年8月時点】Agentforce Coworkerとは？営業の照会場面と任せ方の設計,19,19,H2・H3 の文言が変わった（5本）
agentforce-in-slack,6545,2026-09-11T14:37:13+09:00,統計46,見出し反映,一括スクリプト,-61,9,9,,,0,Agentforce in Slackとは？できることと導入手順をわかりやすく解説,Agentforce in Slackとは？できることと導入手順をわかりやすく解説,14,14,H2・H3 の文言が変わった（3本）
agentic-ai-guide,6404,2026-09-11T14:37:28+09:00,統計46,見出し反映,一括スクリプト,-6,11,11,,,0,エージェンティックAIとは？AIエージェントとの違いと仕組み・活用事例をわかりやすく解説,エージェンティックAIとは？AIエージェントとの違いと仕組み・活用事例をわかりやすく解説,14,14,H2・H3 の文言が変わった（4本）
agentforce-voice,6999,2026-09-11T14:37:33+09:00,統計46,見出し反映,一括スクリプト,-55,12,12,,,0,Agentforce Voiceとは？電話業務のどこまでを任せるかの設計,Agentforce Voiceとは？電話業務のどこまでを任せるかの設計,14,14,H2・H3 の文言が変わった（7本）
agentforce-features,6541,2026-09-11T14:37:38+09:00,統計46,見出し反映,一括スクリプト,-24,14,14,,,0,【2026年最新】Agentforceの機能一覧｜360・Coworker・Voiceまでを整理,【2026年最新】Agentforceの機能一覧｜360・Coworker・Voiceまでを整理,19,19,H2・H3 の文言が変わった（4本）
revops-guide,6402,2026-09-11T14:37:54+09:00,統計46,見出し反映,一括スクリプト,36,5,5,,,0,RevOpsとは？The Modelの分断を解消する組織設計と導入のステップ,RevOpsとは？The Modelの分断を解消する組織設計と導入のステップ,8,8,H2・H3 の文言が変わった（4本）
tableau-ai,6827,2026-09-11T14:37:56+09:00,統計46,見出し反映,一括スクリプト,-78,11,11,,,0,【2026年8月時点】Tableau AIとは？Pulseで変わるKPI監視と導入条件を解説,【2026年8月時点】Tableau AIとは？Pulseで変わるKPI監視と導入条件を解説,32,32,H2・H3 の文言が変わった（9本）
agentforce-vibes,6543,2026-09-11T14:38:03+09:00,統計46,見出し反映,一括スクリプト,-4,8,8,,,0,Agentforce Vibesとは？使い方や料金、対応IDEをわかりやすく解説,Agentforce Vibesとは？使い方や料金、対応IDEをわかりやすく解説,8,8,H2・H3 の文言が変わった（2本）
hyper-personalization,6235,2026-09-11T14:38:17+09:00,統計46,見出し反映,一括スクリプト,-14,5,5,,,0,ハイパーパーソナライゼーションとは？人手を増やさずBtoBで個別化を実装する設計,ハイパーパーソナライゼーションとは？人手を増やさずBtoBで個別化を実装する設計,7,7,H2・H3 の文言が変わった（3本）
agentforce-employee-agent,6815,2026-09-11T14:38:18+09:00,統計46,見出し反映,一括スクリプト,29,10,10,,,0,Agentforce Employee Agentとは？社内問い合わせを任せる範囲の決め方,Agentforce Employee Agentとは？社内問い合わせを任せる範囲の決め方,14,14,H2・H3 の文言が変わった（7本）
agentforce-service-agent,6344,2026-09-11T14:38:32+09:00,統計46,見出し反映,一括スクリプト,-185,11,11,,,0,Agentforce Service Agentとは？チャットボットとの違いと導入設計,Agentforce Service Agentとは？チャットボットとの違いと導入設計,11,11,H2・H3 の文言が変わった（7本）
buyer-enablement,6724,2026-09-11T14:38:41+09:00,統計46,見出し反映,一括スクリプト,7,5,5,,,0,バイヤーイネーブルメントとは？AIで購買体験を変える設計と成熟度4段階,バイヤーイネーブルメントとは？AIで購買体験を変える設計と成熟度4段階,7,7,H2・H3 の文言が変わった（3本）
einstein-trust-layer,6816,2026-09-11T14:38:41+09:00,統計46,見出し反映,一括スクリプト,5,19,19,,,0,Einstein Trust Layerとは？AIに一任する範囲と人が承認する場面の設計,Einstein Trust Layerとは？AIに一任する範囲と人が承認する場面の設計,27,27,H2・H3 の文言が変わった（4本）
agentforce-small-business,6554,2026-09-11T14:38:57+09:00,統計46,見出し反映,一括スクリプト,-5,9,9,,,0,中小企業向けのAgentforce導入ガイド｜向いている理由と成果の出る業務,中小企業向けのAgentforce導入ガイド｜向いている理由と成果の出る業務,9,9,H2・H3 の文言が変わった（4本）
salesforce-data-360,6829,2026-09-11T14:39:03+09:00,統計46,見出し反映,一括スクリプト,-49,13,13,,,0,Data 360（旧Data Cloud）とは？Agentforceに必要な理由と判断軸,Data 360（旧Data Cloud）とは？Agentforceに必要な理由と判断軸,31,31,H2・H3 の文言が変わった（10本）
agentic-crm-pipeline-kpi-monitoring,6410,2026-09-11T14:39:06+09:00,統計46,見出し反映,一括スクリプト,-161,9,9,,,0,Agentic CRMを活用したパイプライン管理のKPI設計と自律モニタリング,Agentic CRMを活用したパイプライン管理のKPI設計と自律モニタリング,9,9,H2・H3 の文言が変わった（5本）
agentforce-marketing,6860,2026-09-11T14:39:26+09:00,統計46,見出し反映,一括スクリプト,-147,11,11,,,0,Agentforce for Marketingとは？任せる範囲と営業への引き渡し設計,Agentforce for Marketingとは？任せる範囲と営業への引き渡し設計,13,13,H2・H3 の文言が変わった（7本）
salesforce-ai,6825,2026-09-11T14:39:48+09:00,統計46,見出し反映,一括スクリプト,-90,13,13,,,0,Salesforce AIとは？Einstein・Agentforceの関係と使い分け,Salesforce AIとは？Einstein・Agentforceの関係と使い分け,16,16,H2・H3 の文言が変わった（8本）
agentforce-reasoning-control,6648,2026-09-11T14:40:11+09:00,統計46,見出し反映,一括スクリプト,-122,16,16,,,0,【2026年8月時点】Agentforceのモデル選択と推論制御｜出力を安定させる設計の基準,【2026年8月時点】Agentforceのモデル選択と推論制御｜出力を安定させる設計の基準,23,23,H2・H3 の文言が変わった（15本）
agentforce-agent-script,6642,2026-09-11T14:40:33+09:00,統計46,見出し反映,一括スクリプト,-50,14,14,,,0,Agent Scriptとは？Agentforceの定義をコードで管理する判断基準,Agent Scriptとは？Agentforceの定義をコードで管理する判断基準,20,20,H2・H3 の文言が変わった（9本）
agentforce-retention,6260,2026-09-11T14:41:09+09:00,統計46,見出し反映,一括スクリプト,-5,10,10,,,0,【失敗パターンから学ぶ】Agentforce定着ガイドと3ヶ月のロードマップ,【失敗パターンから学ぶ】Agentforce定着ガイドと3ヶ月のロードマップ,10,10,H2・H3 の文言が変わった（3本）
agentforce-for-sales-sdr-sales-coach,6234,2026-09-11T14:41:34+09:00,統計46,見出し反映,一括スクリプト,42,9,9,,,0,Agentforce for Salesとは？SDR・Sales Coachの使い方と営業活用事例,Agentforce for Salesとは？SDR・Sales Coachの使い方と営業活用事例,9,9,H2・H3 の文言が変わった（4本）
agentforce-use-cases,6603,2026-09-11T14:42:33+09:00,統計46,見出し反映,一括スクリプト,3,14,14,,,0,Agentforce活用事例7選｜成果が出た営業組織に共通する3つの特徴を解説,Agentforce活用事例7選｜成果が出た営業組織に共通する3つの特徴を解説,16,16,H2・H3 の文言が変わった（3本）
agentforce-usage,6606,2026-09-11T14:42:54+09:00,統計46,見出し反映,一括スクリプト,11,9,9,,,0,Agentforceの使い方4ステップ｜最初のエージェント1体を作るまでの設定手順,Agentforceの使い方4ステップ｜最初のエージェント1体を作るまでの設定手順,14,14,H2・H3 の文言が変わった（5本）
agentforce-usecase-selection,6646,2026-09-11T14:43:16+09:00,統計46,見出し反映,一括スクリプト,-62,15,15,,,0,Agentforceのユースケースの選び方は？どの業務から始めるかを決める5つの判断軸,Agentforceのユースケースの選び方は？どの業務から始めるかを決める5つの判断軸,15,15,H2・H3 の文言が変わった（7本）
agentforce-security-risk-design,6607,2026-09-11T14:43:37+09:00,統計46,見出し反映,一括スクリプト,-54,12,12,,,0,AIエージェントのセキュリティリスクとAgentforceの対策設計｜OWASP 2026対応の実践ガイド,AIエージェントのセキュリティリスクとAgentforceの対策設計｜OWASP 2026対応の実践ガイド,19,19,H2・H3 の文言が変わった（7本）
agentforce-chatgpt-copilot-comparison,6608,2026-09-11T14:44:01+09:00,統計46,見出し反映,一括スクリプト,-27,12,12,,,0,AgentforceはChatGPT・Copilotと何が違う？機能と設計思想の比較,AgentforceはChatGPT・Copilotと何が違う？機能と設計思想の比較,19,19,H2・H3 の文言が変わった（4本）
agentforce-pricing,6194,2026-09-11T14:44:23+09:00,pricing,見出し反映,一括スクリプト,15,12,12,,,0,【2026年最新】Agentforce料金・ライセンス｜Flex Creditsと従量課金の違い,【2026年最新】Agentforce料金・ライセンス｜Flex Creditsと従量課金の違い,15,15,H2・H3 の文言が変わった（3本）
agentforce-testing-center,6643,2026-09-11T14:44:44+09:00,統計46,見出し反映,一括スクリプト,-86,13,13,,,0,Agentforceテストセンターとは？AIエージェントの品質保証を三層で設計,Agentforceテストセンターとは？AIエージェントの品質保証を三層で設計,20,20,H2・H3 の文言が変わった（9本）
agentforce-mcp,6645,2026-09-11T14:45:06+09:00,統計46,見出し反映,一括スクリプト,-125,14,14,,,0,【2026年8月時点】Salesforce MCPとは？Agentforceの境界設計と接続方式,【2026年8月時点】Salesforce MCPとは？Agentforceの境界設計と接続方式,30,30,H2・H3 の文言が変わった（15本）
agentforce-einstein-difference,6605,2026-09-11T14:45:27+09:00,統計46,見出し反映,一括スクリプト,-38,10,10,,,0,Salesforce Einsteinとは？Agentforceとの違いと使い分けの判断軸,Salesforce Einsteinとは？Agentforceとの違いと使い分けの判断軸,14,14,H2・H3 の文言が変わった（6本）
agentforce-rag,6604,2026-09-11T14:45:48+09:00,統計46,見出し反映,一括スクリプト,-4,10,10,,,0,Agentforce RAGの仕組みは？精度が上がらない5つの原因と改善Tipsも,Agentforce RAGの仕組みは？精度が上がらない5つの原因と改善Tipsも,13,13,H2・H3 の文言が変わった（4本）
agentforce-roi,6647,2026-09-11T14:46:10+09:00,統計46,見出し反映,一括スクリプト,-66,15,15,,,0,Agentforce ROIの示し方｜総コストの内訳と稟議で通す効果の測り方,Agentforce ROIの示し方｜総コストの内訳と稟議で通す効果の測り方,22,22,H2・H3 の文言が変わった（8本）
agentforce-observability,6644,2026-09-11T14:46:33+09:00,統計46,見出し反映,一括スクリプト,-92,13,13,,,0,【2026年8月時点】Agentforce Observabilityとは？定着と精度を測る指標設計,【2026年8月時点】Agentforce Observabilityとは？定着と精度を測る指標設計,22,22,H2・H3 の文言が変わった（10本）
agentforce-chatgpt-copilot-comparison,6608,2026-09-11T14:47:13+09:00,統計46,見出し反映,一括スクリプト,4,12,12,,,0,AgentforceはChatGPT・Copilotと何が違う？機能と設計思想の比較,AgentforceはChatGPT・Copilotと何が違う？機能と設計思想の比較,19,19,H2・H3 の文言が変わった（1本）
agentforce-certification,6571,2026-09-11T17:29:47+09:00,統計46,見出し反映,一括スクリプト,-5,9,9,,,0,【2026年最新】Agentforceスペシャリスト資格とは？試験の概要と勉強法をまとめて解説,【2026年最新】Agentforceスペシャリスト資格とは？試験の概要と勉強法をまとめて解説,16,16,H2・H3 の文言が変わった（1本）
agentforce-chatgpt-copilot-comparison,6608,2026-09-11T17:30:08+09:00,統計46,見出し反映,一括スクリプト,-4,12,12,,,0,AgentforceはChatGPT・Copilotと何が違う？機能と設計思想の比較,AgentforceはChatGPT・Copilotと何が違う？機能と設計思想の比較,19,19,H2・H3 の文言が変わった（1本）
agentforce-data-library,7127,2026-09-11T17:30:29+09:00,統計46,見出し反映,一括スクリプト,-8,15,15,,,0,Agentforceのデータライブラリとは？入れる文書の選び方と更新の設計,Agentforceのデータライブラリとは？入れる文書の選び方と更新の設計,21,21,H2・H3 の文言が変わった（2本）
agentforce-einstein-difference,6605,2026-09-11T17:30:51+09:00,統計46,見出し反映,一括スクリプト,-13,10,10,,,0,Salesforce Einsteinとは？Agentforceとの違いと使い分けの判断軸,Salesforce Einsteinとは？Agentforceとの違いと使い分けの判断軸,14,14,H2・H3 の文言が変わった（4本）
agentforce-employee-agent,6815,2026-09-11T17:31:13+09:00,統計46,見出し反映,一括スクリプト,-10,10,10,,,0,Agentforce Employee Agentとは？社内問い合わせを任せる範囲の決め方,Agentforce Employee Agentとは？社内問い合わせを任せる範囲の決め方,14,14,H2・H3 の文言が変わった（2本）
agentforce-for-sales-sdr-sales-coach,6234,2026-09-11T17:31:54+09:00,統計46,見出し反映,一括スクリプト,11,9,9,,,0,Agentforce for Salesとは？SDR・Sales Coachの使い方と営業活用事例,Agentforce for Salesとは？SDR・Sales Coachの使い方と営業活用事例,9,9,H2・H3 の文言が変わった（1本）
agentforce-in-slack,6545,2026-09-11T17:32:35+09:00,統計46,見出し反映,一括スクリプト,-7,9,9,,,0,Agentforce in Slackとは？できることと導入手順をわかりやすく解説,Agentforce in Slackとは？できることと導入手順をわかりやすく解説,14,14,H2・H3 の文言が変わった（1本）
agentforce-marketing,6860,2026-09-11T17:32:56+09:00,統計46,見出し反映,一括スクリプト,-7,11,11,,,0,Agentforce for Marketingとは？任せる範囲と営業への引き渡し設計,Agentforce for Marketingとは？任せる範囲と営業への引き渡し設計,13,13,H2・H3 の文言が変わった（2本）
agentforce-mcp,6645,2026-09-11T17:33:18+09:00,統計46,見出し反映,一括スクリプト,-6,14,14,,,0,【2026年8月時点】Salesforce MCPとは？Agentforceの境界設計と接続方式,【2026年8月時点】Salesforce MCPとは？Agentforceの境界設計と接続方式,30,30,H2・H3 の文言が変わった（1本）
agentforce-no-code-scope,7192,2026-09-11T17:33:39+09:00,統計46,見出し反映,一括スクリプト,-1,10,10,,,0,Agentforceの設定に開発は要るのか？営業部門だけで持てる範囲の線引き,Agentforceの設定に開発は要るのか？営業部門だけで持てる範囲の線引き,11,11,H2・H3 の文言が変わった（1本）
agentforce-proposal-review,7165,2026-09-11T17:34:01+09:00,統計46,見出し反映,一括スクリプト,-1,10,10,,,0,提案のレビューはなぜ遅いのか？プロンプトの前に解く待ち行列の設計と手順,提案のレビューはなぜ遅いのか？プロンプトの前に解く待ち行列の設計と手順,10,10,H2・H3 の文言が変わった（1本）
agentforce-rag,6604,2026-09-11T17:34:21+09:00,統計46,見出し反映,一括スクリプト,-4,10,10,,,0,Agentforce RAGの仕組みは？精度が上がらない5つの原因と改善Tipsも,Agentforce RAGの仕組みは？精度が上がらない5つの原因と改善Tipsも,13,13,H2・H3 の文言が変わった（1本）
agentforce-security-risk-design,6607,2026-09-11T17:36:37+09:00,統計46,見出し反映,一括スクリプト,-4,12,12,,,0,AIエージェントのセキュリティリスクとAgentforceの対策設計｜OWASP 2026対応の実践ガイド,AIエージェントのセキュリティリスクとAgentforceの対策設計｜OWASP 2026対応の実践ガイド,19,19,H2・H3 の文言が変わった（1本）
agentforce-service-agent,6344,2026-09-11T17:36:59+09:00,統計46,見出し反映,一括スクリプト,-4,11,11,,,0,Agentforce Service Agentとは？チャットボットとの違いと導入設計,Agentforce Service Agentとは？チャットボットとの違いと導入設計,11,11,H2・H3 の文言が変わった（1本）
agentforce-vibes,6543,2026-09-11T17:37:20+09:00,統計46,見出し反映,一括スクリプト,-3,8,8,,,0,Agentforce Vibesとは？使い方や料金、対応IDEをわかりやすく解説,Agentforce Vibesとは？使い方や料金、対応IDEをわかりやすく解説,8,8,H2・H3 の文言が変わった（1本）
agentic-ai-guide,6404,2026-09-11T17:37:42+09:00,統計46,見出し反映,一括スクリプト,-14,11,11,,,0,エージェンティックAIとは？AIエージェントとの違いと仕組み・活用事例をわかりやすく解説,エージェンティックAIとは？AIエージェントとの違いと仕組み・活用事例をわかりやすく解説,14,14,H2・H3 の文言が変わった（1本）
agentic-crm-pipeline-kpi-monitoring,6410,2026-09-11T17:38:04+09:00,統計46,見出し反映,一括スクリプト,-29,9,9,,,0,Agentic CRMを活用したパイプライン管理のKPI設計と自律モニタリング,Agentic CRMを活用したパイプライン管理のKPI設計と自律モニタリング,9,9,H2・H3 の文言が変わった（1本）
agentic-crm-pipeline-stagnation-detection,6406,2026-09-11T17:38:27+09:00,統計46,見出し反映,一括スクリプト,-28,4,4,,,0,【2026年最新】Agentic CRMでパイプラインの停滞商談を自律検知する設計と手順,【2026年最新】Agentic CRMでパイプラインの停滞商談を自律検知する設計と手順,4,4,H2・H3 の文言が変わった（2本）
buyer-enablement,6724,2026-09-11T17:38:48+09:00,統計46,見出し反映,一括スクリプト,-4,5,5,,,0,バイヤーイネーブルメントとは？AIで購買体験を変える設計と成熟度4段階,バイヤーイネーブルメントとは？AIで購買体験を変える設計と成熟度4段階,7,7,H2・H3 の文言が変わった（1本）
revops-guide,6402,2026-09-11T17:39:09+09:00,統計46,見出し反映,一括スクリプト,-3,5,5,,,0,RevOpsとは？The Modelの分断を解消する組織設計と導入のステップ,RevOpsとは？The Modelの分断を解消する組織設計と導入のステップ,8,8,H2・H3 の文言が変わった（1本）
revops-guide,6402,2026-09-11T17:40:19+09:00,統計46,見出し反映,一括スクリプト,-2,5,5,,,0,RevOpsとは？The Modelの分断を解消する組織設計と導入のステップ,RevOpsとは？The Modelの分断を解消する組織設計と導入のステップ,8,8,H2・H3 の文言が変わった（1本）
agentforce-retention,6260,2026-09-11T17:45:53+09:00,統計46,逆リンク追記,publish_followup,130,10,11,sfa-teichaku,,0,【失敗パターンから学ぶ】Agentforce定着ガイドと3ヶ月のロードマップ,【失敗パターンから学ぶ】Agentforce定着ガイドと3ヶ月のロードマップ,10,11,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-reasoning-control,6648,2026-09-11T17:46:14+09:00,統計46,逆リンク追記,publish_followup,98,16,17,agentforce-subagents,,0,【2026年8月時点】Agentforceのモデル選択と推論制御｜出力を安定させる設計の基準,【2026年8月時点】Agentforceのモデル選択と推論制御｜出力を安定させる設計の基準,23,24,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-rag,6604,2026-09-11T17:46:35+09:00,統計46,逆リンク追記,publish_followup,100,10,11,agentforce-data-library,,0,Agentforce RAGの仕組みは？精度が上がらない5つの原因と改善Tipsも,Agentforce RAGの仕組みは？精度が上がらない5つの原因と改善Tipsも,13,14,内部リンクが増え、増えた字数がリンク1本あたり200字以内
einstein-trust-layer,6816,2026-09-11T17:46:56+09:00,統計46,逆リンク追記,publish_followup,100,19,20,agentforce-permission-set,,0,Einstein Trust Layerとは？AIに一任する範囲と人が承認する場面の設計,Einstein Trust Layerとは？AIに一任する範囲と人が承認する場面の設計,27,28,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-use-cases,6603,2026-09-11T17:47:20+09:00,統計46,逆リンク追記,publish_followup,98,14,15,agentforce-sales-dependency,,0,Agentforce活用事例7選｜成果が出た営業組織に共通する3つの特徴を解説,Agentforce活用事例7選｜成果が出た営業組織に共通する3つの特徴を解説,16,17,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-roi,6647,2026-09-11T17:47:41+09:00,統計46,逆リンク追記,publish_followup,101,15,16,agentforce-lost-deal-analysis,,0,Agentforce ROIの示し方｜総コストの内訳と稟議で通す効果の測り方,Agentforce ROIの示し方｜総コストの内訳と稟議で通す効果の測り方,22,23,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-use-cases,6603,2026-09-11T17:48:02+09:00,統計46,逆リンク追記,publish_followup,98,15,16,agentforce-proposal-review,,0,Agentforce活用事例7選｜成果が出た営業組織に共通する3つの特徴を解説,Agentforce活用事例7選｜成果が出た営業組織に共通する3つの特徴を解説,17,18,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-for-sales-sdr-sales-coach,6234,2026-09-11T17:48:23+09:00,統計46,逆リンク追記,publish_followup,95,9,10,agentforce-sales-roleplay,,0,Agentforce for Salesとは？SDR・Sales Coachの使い方と営業活用事例,Agentforce for Salesとは？SDR・Sales Coachの使い方と営業活用事例,9,10,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-observability,6644,2026-09-11T17:48:43+09:00,統計46,逆リンク追記,publish_followup,100,13,14,agentforce-sales-meeting,,0,【2026年8月時点】Agentforce Observabilityとは？定着と精度を測る指標設計,【2026年8月時点】Agentforce Observabilityとは？定着と精度を測る指標設計,22,23,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-small-business,6554,2026-09-11T17:49:04+09:00,統計46,逆リンク追記,publish_followup,101,9,10,agentforce-data-volume,,0,中小企業向けのAgentforce導入ガイド｜向いている理由と成果の出る業務,中小企業向けのAgentforce導入ガイド｜向いている理由と成果の出る業務,9,10,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-usage,6606,2026-09-11T17:49:26+09:00,統計46,逆リンク追記,publish_followup,112,9,10,agentforce-no-code-scope,,0,Agentforceの使い方4ステップ｜最初のエージェント1体を作るまでの設定手順,Agentforceの使い方4ステップ｜最初のエージェント1体を作るまでの設定手順,14,15,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-use-cases,6603,2026-09-11T17:49:46+09:00,統計46,逆リンク追記,publish_followup,95,16,17,agentforce-deal-notes,,0,Agentforce活用事例7選｜成果が出た営業組織に共通する3つの特徴を解説,Agentforce活用事例7選｜成果が出た営業組織に共通する3つの特徴を解説,18,19,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-guide,6698,2026-09-11T17:52:52+09:00,ピラー,逆リンク追記,publish_followup,114,55,56,agentforce-marketing,,0,【2026年8月時点】Agentforceとは？仕組み・料金・導入判断までをまとめて解説します,【2026年8月時点】Agentforceとは？仕組み・料金・導入判断までをまとめて解説します,60,61,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-certification,6571,2026-09-11T17:54:59+09:00,統計46,その他,一括スクリプト,89,9,9,,,0,【2026年最新】Agentforceスペシャリスト資格とは？試験の概要と勉強法をまとめて解説,【2026年最新】Agentforceスペシャリスト資格とは？試験の概要と勉強法をまとめて解説,16,17,本文のみ変更（見出し・リンクは不変）／実施者は記録から確定できないため、同時刻に複数記事が動いた事実で一括と判断
agentforce-security-risk-design,6607,2026-09-11T17:59:30+09:00,統計46,逆リンク追記,publish_followup,101,12,13,agentforce-permission-set,,0,AIエージェントのセキュリティリスクとAgentforceの対策設計｜OWASP 2026対応の実践ガイド,AIエージェントのセキュリティリスクとAgentforceの対策設計｜OWASP 2026対応の実践ガイド,19,20,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-mcp,6645,2026-09-11T17:59:53+09:00,統計46,逆リンク追記,publish_followup,95,14,15,agentforce-subagents,,0,【2026年8月時点】Salesforce MCPとは？Agentforceの境界設計と接続方式,【2026年8月時点】Salesforce MCPとは？Agentforceの境界設計と接続方式,30,31,内部リンクが増え、増えた字数がリンク1本あたり200字以内
agentforce-agent-script,6642,2026-09-11T18:00:15+09:00,統計46,逆リンク追記,publish_followup,108,14,15,agentforce-no-code-scope,,0,Agent Scriptとは？Agentforceの定義をコードで管理する判断基準,Agent Scriptとは？Agentforceの定義をコードで管理する判断基準,20,21,内部リンクが増え、増えた字数がリンク1本あたり200字以内
