id,layer,url,prompt
E31,中,https://cross-com.jp/agentforce-employee-agent/,Agentforce Employee Agentとは？社内問い合わせのどこまでを任せられる？
E32,新,https://cross-com.jp/tableau-ai/,Tableau AIとPulseで何が変わる？ダッシュボードを誰も見ない問題は解決する？
E33,新,https://cross-com.jp/agentforce-sales-roleplay/,営業ロープレは意味がないと言われるのはなぜ？効果が出る練習場面の選び方は？
E34,新,https://cross-com.jp/agentic-crm-pipeline-stagnation-detection/,CRMでパイプラインの停滞商談を自動で検知して営業に知らせる仕組みは作れる？
E35,新,https://cross-com.jp/agentforce-deal-notes/,商談メモが後から読まれない。読まれる商談メモの項目はどう決める？
E36,新,https://cross-com.jp/agentforce-voice/,Agentforce Voiceで電話業務のどこまでを任せられる？対応チャネルと費用も知りたい
E37,新,https://cross-com.jp/agentforce-coworker/,Agentforce Coworkerとは何？営業がどんな場面で使える？
E38,新,https://cross-com.jp/agentforce-subagents/,Agentforceのサブエージェントはどういう単位で分ければいい？指示文の書き分け方も
E39,新,https://cross-com.jp/sfa-teichaku/,Salesforceの定着化が進まない理由と、入力を促す以外の対策は？
E40,新,https://cross-com.jp/agentforce-lost-deal-analysis/,失注分析をしても次の受注につながらない。商談の途中で記録を残す方法を教えて
E41,新,https://cross-com.jp/agentforce-sales-dependency/,営業の属人化を解消したい。手順書やCRM入力以外に、AIで判断を引き継ぐ方法はある？
E42,新,https://cross-com.jp/agentforce-sales-meeting/,営業会議が数字の読み上げで長引く。会議の外で数字を確認できるようにする方法は？
E43,新,https://cross-com.jp/agentforce-no-code-scope/,Agentforceの設定は開発者なしで営業部門だけでできる？開発が必要になる範囲はどこから？
E44,新,https://cross-com.jp/agentforce-data-volume/,CRMのデータが少ない会社でもAgentforceは使える？始める前に確認すべき条件
E45,新,https://cross-com.jp/agentforce-data-library/,Agentforceのデータライブラリに入れる文書はどう選ぶ？社内マニュアルや議事録を読ませたい
E46,新,https://cross-com.jp/agentforce-permission-set/,Agentforceの権限セットは何を設定する？AIエージェントにどこまでデータアクセスを渡していい？
E47,新,https://cross-com.jp/agentforce-proposal-review/,提案書のレビューが遅くて商談が止まる。営業部門でレビュー待ちを減らす仕組みの作り方は？
