run_date,id,url,group,model,run,cited,site_cited,cited_urls
2026-09-17,9,https://cross-com.jp/sfa-teichaku/,③リードのみ,claude,1,0,0,
2026-09-17,9,https://cross-com.jp/sfa-teichaku/,③リードのみ,claude,2,0,0,
2026-09-17,9,https://cross-com.jp/sfa-teichaku/,③リードのみ,claude,3,0,0,
2026-09-17,10,https://cross-com.jp/agentforce-subagents/,④両方,claude,1,0,0,
2026-09-17,10,https://cross-com.jp/agentforce-subagents/,④両方,claude,3,0,0,
2026-09-17,11,https://cross-com.jp/agentforce-coworker/,①対照,claude,1,1,1,https://cross-com.jp/agentforce-coworker/
2026-09-17,11,https://cross-com.jp/agentforce-coworker/,①対照,claude,2,1,1,https://cross-com.jp/agentforce-coworker/
2026-09-17,11,https://cross-com.jp/agentforce-coworker/,①対照,claude,3,0,0,
2026-09-17,12,https://cross-com.jp/agentforce-voice/,④両方,claude,1,1,1,https://cross-com.jp/agentforce-voice/
2026-09-17,12,https://cross-com.jp/agentforce-voice/,④両方,claude,2,1,1,https://cross-com.jp/agentforce-voice/
2026-09-17,12,https://cross-com.jp/agentforce-voice/,④両方,claude,3,0,0,
2026-09-17,13,https://cross-com.jp/agentforce-deal-notes/,②FAQのみ,claude,1,0,0,
2026-09-17,13,https://cross-com.jp/agentforce-deal-notes/,②FAQのみ,claude,2,0,0,
2026-09-17,13,https://cross-com.jp/agentforce-deal-notes/,②FAQのみ,claude,3,0,0,
2026-09-17,14,https://cross-com.jp/agentforce-sales-roleplay/,③リードのみ,claude,1,0,0,
2026-09-17,14,https://cross-com.jp/agentforce-sales-roleplay/,③リードのみ,claude,2,0,0,
2026-09-17,14,https://cross-com.jp/agentforce-sales-roleplay/,③リードのみ,claude,3,0,0,
2026-09-17,15,https://cross-com.jp/tableau-ai/,③リードのみ,claude,1,0,0,
2026-09-17,15,https://cross-com.jp/tableau-ai/,③リードのみ,claude,2,0,0,
2026-09-17,15,https://cross-com.jp/tableau-ai/,③リードのみ,claude,3,0,0,
2026-09-17,16,https://cross-com.jp/agentforce-employee-agent/,②FAQのみ,claude,1,0,0,
2026-09-17,16,https://cross-com.jp/agentforce-employee-agent/,②FAQのみ,claude,2,0,0,
2026-09-17,16,https://cross-com.jp/agentforce-employee-agent/,②FAQのみ,claude,3,0,0,
2026-09-17,17,https://cross-com.jp/einstein-trust-layer/,④両方,claude,1,0,0,
2026-09-17,17,https://cross-com.jp/einstein-trust-layer/,④両方,claude,2,0,0,
2026-09-17,17,https://cross-com.jp/einstein-trust-layer/,④両方,claude,3,0,0,
2026-09-17,18,https://cross-com.jp/salesforce-data-360/,④両方,claude,1,1,1,https://cross-com.jp/salesforce-data-360/
2026-09-17,18,https://cross-com.jp/salesforce-data-360/,④両方,claude,2,0,0,
2026-09-17,18,https://cross-com.jp/salesforce-data-360/,④両方,claude,3,1,1,https://cross-com.jp/salesforce-data-360/
2026-09-17,19,https://cross-com.jp/agentforce-marketing/,③リードのみ,claude,1,1,1,https://cross-com.jp/agentforce-marketing/
2026-09-17,19,https://cross-com.jp/agentforce-marketing/,③リードのみ,claude,2,1,1,https://cross-com.jp/agentforce-marketing/
2026-09-17,19,https://cross-com.jp/agentforce-marketing/,③リードのみ,claude,3,1,1,https://cross-com.jp/agentforce-marketing/
2026-09-17,20,https://cross-com.jp/salesforce-ai/,①対照,claude,1,0,1,https://cross-com.jp/salesforce-data-360/
2026-09-17,20,https://cross-com.jp/salesforce-ai/,①対照,claude,2,0,1,https://cross-com.jp/salesforce-data-360/
2026-09-17,20,https://cross-com.jp/salesforce-ai/,①対照,claude,3,0,1,https://cross-com.jp/salesforce-data-360/
2026-09-17,21,https://cross-com.jp/agentforce-reasoning-control/,③リードのみ,claude,1,0,0,
2026-09-17,21,https://cross-com.jp/agentforce-reasoning-control/,③リードのみ,claude,2,0,0,
2026-09-17,21,https://cross-com.jp/agentforce-reasoning-control/,③リードのみ,claude,3,0,0,
2026-09-17,22,https://cross-com.jp/agentforce-agent-script/,③リードのみ,claude,1,0,0,
2026-09-17,22,https://cross-com.jp/agentforce-agent-script/,③リードのみ,claude,2,0,0,
2026-09-17,22,https://cross-com.jp/agentforce-agent-script/,③リードのみ,claude,3,0,0,
2026-09-17,23,https://cross-com.jp/agentforce-use-cases/,④両方,claude,1,0,0,
2026-09-17,23,https://cross-com.jp/agentforce-use-cases/,④両方,claude,2,0,0,
2026-09-17,23,https://cross-com.jp/agentforce-use-cases/,④両方,claude,3,0,0,
2026-09-17,24,https://cross-com.jp/agentforce-usage/,④両方,claude,1,0,0,
2026-09-17,10,https://cross-com.jp/agentforce-subagents/,④両方,claude,2,0,0,
2026-09-17,24,https://cross-com.jp/agentforce-usage/,④両方,claude,2,0,0,
2026-09-17,24,https://cross-com.jp/agentforce-usage/,④両方,claude,3,0,0,
2026-09-17,25,https://cross-com.jp/agentforce-usecase-selection/,②FAQのみ,claude,1,0,0,
2026-09-17,25,https://cross-com.jp/agentforce-usecase-selection/,②FAQのみ,claude,2,0,1,https://cross-com.jp/agentforce-coworker/ https://cross-com.jp/agentforce-support-company/
2026-09-17,25,https://cross-com.jp/agentforce-usecase-selection/,②FAQのみ,claude,3,0,0,
2026-09-17,26,https://cross-com.jp/agentforce-security-risk-design/,②FAQのみ,claude,1,0,0,
2026-09-17,26,https://cross-com.jp/agentforce-security-risk-design/,②FAQのみ,claude,2,0,0,
2026-09-17,26,https://cross-com.jp/agentforce-security-risk-design/,②FAQのみ,claude,3,0,0,
2026-09-17,27,https://cross-com.jp/agentforce-chatgpt-copilot-comparison/,①対照,claude,1,0,0,
2026-09-17,27,https://cross-com.jp/agentforce-chatgpt-copilot-comparison/,①対照,claude,2,0,0,
2026-09-17,27,https://cross-com.jp/agentforce-chatgpt-copilot-comparison/,①対照,claude,3,0,0,
2026-09-17,28,https://cross-com.jp/agentforce-certification/,③リードのみ,claude,1,0,0,
2026-09-17,28,https://cross-com.jp/agentforce-certification/,③リードのみ,claude,2,0,0,
2026-09-17,28,https://cross-com.jp/agentforce-certification/,③リードのみ,claude,3,0,0,
2026-09-17,29,https://cross-com.jp/agentforce-pricing/,①対照,claude,1,1,1,https://cross-com.jp/agentforce-pricing/
2026-09-17,29,https://cross-com.jp/agentforce-pricing/,①対照,claude,2,1,1,https://cross-com.jp/agentforce-pricing/
2026-09-17,29,https://cross-com.jp/agentforce-pricing/,①対照,claude,3,1,1,https://cross-com.jp/agentforce-pricing/
2026-09-17,30,https://cross-com.jp/agentforce-in-slack/,④両方,claude,1,0,0,
2026-09-17,30,https://cross-com.jp/agentforce-in-slack/,④両方,claude,2,0,0,
2026-09-17,30,https://cross-com.jp/agentforce-in-slack/,④両方,claude,3,0,0,
2026-09-17,31,https://cross-com.jp/agentforce-testing-center/,③リードのみ,claude,1,0,0,
2026-09-17,31,https://cross-com.jp/agentforce-testing-center/,③リードのみ,claude,2,0,0,
2026-09-17,31,https://cross-com.jp/agentforce-testing-center/,③リードのみ,claude,3,0,0,
2026-09-17,32,https://cross-com.jp/agentforce-features/,②FAQのみ,claude,1,0,0,
2026-09-17,32,https://cross-com.jp/agentforce-features/,②FAQのみ,claude,2,0,0,
2026-09-17,32,https://cross-com.jp/agentforce-features/,②FAQのみ,claude,3,0,0,
2026-09-17,33,https://cross-com.jp/agentforce-vibes/,③リードのみ,claude,1,0,0,
2026-09-17,33,https://cross-com.jp/agentforce-vibes/,③リードのみ,claude,2,0,0,
2026-09-17,33,https://cross-com.jp/agentforce-vibes/,③リードのみ,claude,3,0,0,
2026-09-17,34,https://cross-com.jp/agentforce-service-agent/,②FAQのみ,claude,1,0,0,
2026-09-17,34,https://cross-com.jp/agentforce-service-agent/,②FAQのみ,claude,2,0,0,
2026-09-17,34,https://cross-com.jp/agentforce-service-agent/,②FAQのみ,claude,3,0,0,
2026-09-17,35,https://cross-com.jp/agentforce-mcp/,④両方,claude,1,0,0,
2026-09-17,35,https://cross-com.jp/agentforce-mcp/,④両方,claude,2,0,0,
2026-09-17,35,https://cross-com.jp/agentforce-mcp/,④両方,claude,3,0,0,
2026-09-17,36,https://cross-com.jp/agentforce-small-business/,①対照,claude,1,1,1,https://cross-com.jp/agentforce-small-business/
2026-09-17,36,https://cross-com.jp/agentforce-small-business/,①対照,claude,2,1,1,https://cross-com.jp/agentforce-small-business/
2026-09-17,36,https://cross-com.jp/agentforce-small-business/,①対照,claude,3,1,1,https://cross-com.jp/agentforce-small-business/
2026-09-17,37,https://cross-com.jp/agentforce-einstein-difference/,①対照,claude,1,0,0,
2026-09-17,37,https://cross-com.jp/agentforce-einstein-difference/,①対照,claude,2,0,0,
2026-09-17,37,https://cross-com.jp/agentforce-einstein-difference/,①対照,claude,3,0,0,
2026-09-17,38,https://cross-com.jp/agentforce-rag/,①対照,claude,1,0,0,
2026-09-17,38,https://cross-com.jp/agentforce-rag/,①対照,claude,2,0,0,
2026-09-17,38,https://cross-com.jp/agentforce-rag/,①対照,claude,3,0,0,
2026-09-17,39,https://cross-com.jp/agentforce-roi/,②FAQのみ,claude,1,0,0,
2026-09-17,39,https://cross-com.jp/agentforce-roi/,②FAQのみ,claude,2,0,0,
2026-09-17,39,https://cross-com.jp/agentforce-roi/,②FAQのみ,claude,3,0,0,
2026-09-17,40,https://cross-com.jp/agentforce-observability/,③リードのみ,claude,1,0,0,
2026-09-17,40,https://cross-com.jp/agentforce-observability/,③リードのみ,claude,2,0,0,
2026-09-17,40,https://cross-com.jp/agentforce-observability/,③リードのみ,claude,3,0,0,
2026-09-17,41,https://cross-com.jp/agentforce-retention/,②FAQのみ,claude,1,0,1,https://cross-com.jp/agentforce-small-business/ https://cross-com.jp/service/agentforce-support/
2026-09-17,41,https://cross-com.jp/agentforce-retention/,②FAQのみ,claude,2,0,0,
2026-09-17,41,https://cross-com.jp/agentforce-retention/,②FAQのみ,claude,3,0,0,
2026-09-17,42,https://cross-com.jp/agentforce-for-sales-sdr-sales-coach/,①対照,claude,1,1,1,https://cross-com.jp/agentforce-for-sales-sdr-sales-coach/
2026-09-17,42,https://cross-com.jp/agentforce-for-sales-sdr-sales-coach/,①対照,claude,2,1,1,https://cross-com.jp/agentforce-for-sales-sdr-sales-coach/
2026-09-17,42,https://cross-com.jp/agentforce-for-sales-sdr-sales-coach/,①対照,claude,3,1,1,https://cross-com.jp/agentforce-for-sales-sdr-sales-coach/
2026-09-17,43,https://cross-com.jp/agentic-crm-pipeline-stagnation-detection/,②FAQのみ,claude,1,0,0,
2026-09-17,43,https://cross-com.jp/agentic-crm-pipeline-stagnation-detection/,②FAQのみ,claude,2,0,0,
2026-09-17,43,https://cross-com.jp/agentic-crm-pipeline-stagnation-detection/,②FAQのみ,claude,3,0,0,
2026-09-17,44,https://cross-com.jp/agentic-ai-guide/,①対照,claude,1,0,0,
2026-09-17,44,https://cross-com.jp/agentic-ai-guide/,①対照,claude,2,0,0,
2026-09-17,44,https://cross-com.jp/agentic-ai-guide/,①対照,claude,3,0,0,
2026-09-17,45,https://cross-com.jp/revops-guide/,②FAQのみ,claude,1,0,0,
2026-09-17,45,https://cross-com.jp/revops-guide/,②FAQのみ,claude,2,0,0,
2026-09-17,45,https://cross-com.jp/revops-guide/,②FAQのみ,claude,3,0,0,
2026-09-17,46,https://cross-com.jp/hyper-personalization/,④両方,claude,1,0,0,
2026-09-17,46,https://cross-com.jp/hyper-personalization/,④両方,claude,2,0,0,
2026-09-17,46,https://cross-com.jp/hyper-personalization/,④両方,claude,3,0,0,
2026-09-17,47,https://cross-com.jp/buyer-enablement/,①対照,claude,1,0,0,
2026-09-17,47,https://cross-com.jp/buyer-enablement/,①対照,claude,2,0,0,
2026-09-17,47,https://cross-com.jp/buyer-enablement/,①対照,claude,3,0,0,
2026-09-17,48,https://cross-com.jp/agentic-crm-pipeline-kpi-monitoring/,④両方,claude,1,0,0,
2026-09-17,48,https://cross-com.jp/agentic-crm-pipeline-kpi-monitoring/,④両方,claude,2,0,0,
2026-09-17,48,https://cross-com.jp/agentic-crm-pipeline-kpi-monitoring/,④両方,claude,3,0,0,
